Date,Open,High,Low,Close,Core CPI Y/Y,ISM,NFP,2yrUS_Ger,10yrUS_Ger
4/30/2004,87.55,91.56,87.02,90.48,1.8,60.6,249,-0.1245,0.3303
3/31/2004,87.38,89.84,87.03,87.61,1.6,60.6,332,-0.5622,-0.0962
2/27/2004,87.11,88.02,84.56,87.31,1.2,59.9,46,-0.574,-0.0799
1/30/2004,86.77,88.01,84.8,87.2,1.1,60.8,162,-0.7051,-0.1081
12/31/2003,90.3,90.54,86.36,86.92,1.1,60.1,122,-0.7861,-0.0465
11/28/2003,92.6,94.13,90.04,90.23,1.1,58.4,17,-0.7683,-0.1254
10/31/2003,92.83,93.42,91.01,92.73,1.3,55.2,198,-0.8685,-0.0383
9/30/2003,98.06,99.37,92.1,92.85,1.2,52.4,104,-0.8393,-0.0574
8/29/2003,96.89,99.49,95.56,98.1,1.3,53.2,-42,-0.6251,0.2666
7/31/2003,94.53,97.45,93.96,96.89,1.5,51,24,-0.7162,0.2155
6/30/2003,93.74,95.34,91.88,94.73,1.5,49,9,-0.8251,-0.2887
5/30/2003,97.14,97.25,92.21,93.29,1.6,49,-8,-0.7943,-0.3511
4/30/2003,98.87,101.81,97.1,97.19,1.5,46.1,-44,-0.9454,-0.2561
3/31/2003,99.78,102.15,97.57,98.88,1.7,46.3,-209,-0.9254,-0.248
2/28/2003,99.77,100.89,98.65,99.71,1.7,48.8,-150,-0.787,-0.2283
1/31/2003,101.86,103.2,98.76,99.91,1.9,51.3,92,-0.9069,-0.1095
12/31/2002,106.38,107.31,101.8,101.85,1.9,51.6,-157,-1.1228,-0.388
11/29/2002,106.51,106.97,104.12,106.38,2,48.5,10,-1.0437,-0.2848
10/31/2002,106.87,108.74,106.47,106.64,2.2,49,126,-1.4111,-0.6186
9/30/2002,107.81,109.24,105.41,106.87,2.2,50.5,-59,-1.388,-0.6773
8/30/2002,107.43,109,106.18,106.98,2.4,50.3,-14,-1.3284,-0.4274
7/31/2002,106.15,107.75,103.54,107.41,2.2,50.2,-85,-1.3839,-0.2936
6/28/2002,111.78,112.04,105.37,106.11,2.3,53.6,57,-1.1145,-0.1451
5/31/2002,115.22,115.34,110.88,111.81,2.5,53.1,-7,-1.0538,-0.1257
4/30/2002,118.58,118.75,114.72,115.19,2.5,52.4,-79,-0.8505,-0.0374
3/29/2002,119.1,119.61,116.76,118.62,2.4,52.4,-20,-0.6234,0.1409
2/28/2002,120.23,120.4,118.09,119.16,2.6,50.7,-134,-0.8109,-0.0871
1/31/2002,116.83,120.51,115.54,120.21,2.6,47.5,-138,-0.7427,0.1284
12/31/2001,115.56,118.26,114.41,116.75,2.7,45.3,-170,-0.6234,0.053
11/30/2001,114.88,117.43,113.66,116.13,2.8,44.1,-293,-0.5459,0.1969
10/31/2001,113.63,116.27,112.27,114.86,2.6,40.8,-325,-0.7174,-0.1649
9/28/2001,113.56,116.08,111.31,113.41,2.6,46.2,-240,-0.6298,-0.2026
8/31/2001,117.1,117.16,112.32,113.42,2.7,46.3,-157,-0.3179,0.0439
7/31/2001,119.39,121.02,116.34,117.18,2.7,43.5,-112,-0.3367,0.1743
6/29/2001,119.18,120.33,117.43,119.47,2.7,43.2,-131,-0.039,0.309
5/31/2001,115.73,119.29,114.27,119.07,2.5,41.3,-38,-0.1978,0.2084
4/30/2001,117.52,117.82,113.86,115.76,2.6,42.7,-281,-0.3503,0.3059
3/30/2001,111.99,117.63,110.82,117.37,2.7,43.1,-25,0.0418,0.2123
2/28/2001,110.23,113.62,109.4,112.01,2.7,42.1,72,0.0158,0.1424
1/31/2001,109.54,112.65,108.09,110.52,2.6,42.3,-26,0.1862,0.3173
12/29/2000,115.18,115.44,109.25,109.56,2.6,43.9,142,0.6495,0.2609
11/30/2000,116.65,118.69,113.92,115.24,2.6,48.5,226,0.7821,0.4683
10/31/2000,113.07,119.07,112.95,116.65,2.5,48.7,-14,0.8323,0.5359
9/29/2000,112.53,116.75,111.25,113.25,2.6,49.7,136,0.9361,0.5722
8/31/2000,109.5,112.93,109.35,112.6,2.6,49.9,-10,0.9516,0.4267
7/31/2000,106.82,109.92,106.7,109.61,2.5,52.5,176,1.1819,0.8249
6/30/2000,108.65,109.42,105.56,106.84,2.5,51.4,-47,1.4116,0.8098
5/31/2000,109.9,112.86,108.18,108.74,2.4,53.2,227,1.7302,1.0808
4/28/2000,105.61,110.32,104.23,110.14,2.3,54.7,287,2.082,0.9138
3/31/2000,106.22,106.61,104.48,105.44,2.4,54.9,468,2.0559,0.7882
2/29/2000,104.98,107.37,102.92,105.92,2.2,55.8,130,2.0821,0.909
1/31/2000,101.67,105.28,99.71,105.13,2,56.7,230,2.2059,1.1243
12/31/1999,101.98,102.77,100.49,101.87,1.9,57.8,296,2.0059,1.0844
11/30/1999,98.98,102.34,98.72,101.99,2.1,58.1,293,2.0312,1.0661
10/29/1999,98.52,99.92,96.94,99.06,2.1,57.2,400,1.8795,0.8673
9/30/1999,100.04,101.27,98.26,98.54,2,57,214,1.9337,0.7969
8/31/1999,99.97,101.46,98.88,99.95,1.9,54.8,160,2.2598,1.0787
7/30/1999,102.71,104.88,99.62,99.75,2.1,53.6,326,2.2325,1.0918
6/30/1999,102.34,103.48,100.87,102.85,2.1,55.8,260,2.343,1.269
5/31/1999,100.96,102.64,99.35,102.28,2,54.3,211,2.624,1.506
4/30/1999,100.02,101.36,99.43,101,2.2,52.3,376,2.36,1.48
3/31/1999,98.89,100.79,98.16,100.1,2.1,52.4,107,2.109,1.241
2/26/1999,95.9,99.48,95.38,98.71,2.1,51.7,410,2.01,1.276
1/29/1999,93.89,96.24,93.05,96.08,2.4,50.6,126,1.726,1.019
12/31/1998,96.12,96.14,93.19,94.17,2.4,46.8,346,1.409,0.782
11/30/1998,93.53,96.94,93.29,96.2,2.3,48.2,282,1.24,0.716
10/30/1998,96.12,96.31,90.57,93.68,2.3,48.7,199,0.847,0.472
9/30/1998,99.72,100.13,95.41,96.17,2.5,48.7,223,0.903,0.522
8/31/1998,101.12,102.88,99.61,100.2,2.5,49.3,342,1.324,0.743
7/31/1998,101.02,102.67,100.19,101.14,2.2,49.2,129,1.562,0.863
6/30/1998,100.34,102.45,99.43,101.17,2.2,48.9,219,1.498,0.667
5/29/1998,99.74,100.66,98.57,100.48,2.2,50.9,404,1.52,0.687
4/30/1998,101.53,102.11,98.96,99.71,2.1,52.2,280,1.403,0.685
3/31/1998,99.72,101.69,99.09,101.5,2.1,52.9,151,1.503,0.739
2/27/1998,100.78,101.04,98.51,99.83,2.3,52.9,196,1.662,0.666
1/30/1998,99.91,101.68,97.67,100.72,2.2,53.8,276,1.469,0.448
12/31/1997,97.69,99.73,97.64,99.65,2.2,54.5,303,1.456,0.374
11/28/1997,95.57,97.99,94.73,97.77,2.2,55.7,306,1.543,0.42
10/31/1997,97.19,98.22,94.83,95.64,2.3,56.4,340,1.374,0.256
9/30/1997,99.33,100.23,96.69,97.11,2.2,53.9,512,1.74,0.583
8/29/1997,99.59,101.79,97.96,99,2.3,56.3,-31,2.061,0.649
7/31/1997,95.66,100,95.14,99.55,2.4,57.7,306,1.961,0.476
6/30/1997,95.06,96.22,94.42,95.67,2.4,54.9,266,2.567,0.793
5/30/1997,97.23,97.35,93.07,94.85,2.5,56.1,260,2.548,0.731
4/30/1997,94.73,97.47,94.02,97.18,2.7,53.7,292,2.648,0.877
3/31/1997,95.03,96.32,94.18,94.72,2.5,53.8,316,2.767,0.972
2/28/1997,93.02,95.8,92.87,94.89,2.5,53.1,303,2.61,1.034
1/31/1997,88.16,93.59,88.15,93.04,2.5,53.8,234,2.497,0.754
12/31/1996,87.91,89.14,87.69,88.12,2.6,55.2,171,2.356,0.639
11/29/1996,87.42,87.96,86.04,87.92,2.6,53,299,2.129,0.4
10/31/1996,87.89,88.53,86.93,87.43,2.6,50.5,250,2.077,0.339
9/30/1996,86.48,88.12,86.32,87.94,2.7,51.1,225,2.469,0.607
8/30/1996,85.94,86.96,85.81,86.36,2.6,51.6,179,2.533,0.557
7/31/1996,87.95,88.32,85.63,85.9,2.7,49.7,249,2.289,0.421
6/28/1996,87.76,88.56,87.35,87.82,2.7,53.6,287,1.974,0.206
5/31/1996,88,89.04,87.37,87.78,2.7,49.1,322,2.316,0.356
4/30/1996,86.57,88.29,86.27,88.02,2.7,49.3,163,2.384,0.331
3/29/1996,86.26,87.12,86.08,86.52,2.8,46.9,267,1.841,-0.111
2/29/1996,87.3,87.56,85.24,86.31,2.9,45.9,432,1.409,-0.29
1/31/1996,84.84,87.72,84.48,87.38,3,45.5,-19,1.254,-0.316
12/29/1995,85.19,85.63,84.34,84.76,3,46.2,133,1.334,-0.459
11/30/1995,83.67,85.38,83.34,85.26,3,45.9,149,1.393,-0.428
10/31/1995,84.18,84.9,82.99,83.66,3,46.7,153,1.236,-0.42
9/29/1995,85.62,87.47,83.5,84.29,2.9,48.1,244,1.325,-0.421
8/31/1995,81.68,86.63,81.03,85.57,2.9,47.1,253,1.143,-0.431
7/31/1995,81.54,82.8,81.22,81.57,3,50.7,96,0.822,-0.359
6/30/1995,82.67,83.58,81.35,81.58,3,45.9,234,0.474,-0.737
5/31/1995,81.77,84.84,80.55,82.57,3.1,46.7,-15,0.807,-0.363
4/28/1995,81.71,83.03,80.05,81.8,3.1,51.5,162,1.239,0.016
3/31/1995,85.92,86.1,81.24,81.9,3,52.1,221,1.198,0.007
2/28/1995,87.93,88.49,85.69,85.93,3,55.1,204,0.515,-0.161
1/31/1995,89.25,89.63,86.95,87.99,2.9,57.4,324,0.851,0.143
12/30/1994,89.06,90.18,88.46,88.72,2.6,56.1,277,1.204,0.201
11/30/1994,85.63,89.27,85.2,89.13,2.8,59.2,420,1.279,0.587
10/31/1994,87.8,88.37,84.91,85.69,2.9,59.4,213,0.595,0.175
9/30/1994,89.68,89.72,87.14,87.88,3,59,353,0.143,0.005
8/31/1994,89.5,90.31,87.41,89.67,2.9,58,282,0.15,-0.052
7/29/1994,89.6,90.56,86.65,89.87,2.9,58.5,373,0.28,0.288
6/30/1994,92.47,93.58,89.09,89.62,2.9,58.8,315,0.506,0.238
5/31/1994,92.02,93.75,91.51,92.52,2.8,58.2,333,0.343,0.195
4/29/1994,93.37,95.33,91.71,92.12,2.8,57.4,350,0.215,0.491
3/31/1994,94.58,95.42,92.86,93.06,2.9,56.9,465,-0.278,0.41
2/28/1994,95.51,97.1,94.34,94.55,2.8,56.5,200,-0.829,0.023
1/31/1994,96.75,97.09,95.15,95.59,2.9,56,271,-0.898,-0.052
12/31/1993,96.21,96.85,94.67,96.84,3.2,55.6,312,-0.815,0.262
11/30/1993,95.16,96.37,94.41,96.21,3.1,53.8,263,-0.982,-0.059
10/29/1993,92.84,95.34,91.21,95.08,3,53.4,286,-1.421,-0.464
9/30/1993,93.95,94.15,90.29,92.82,3.2,50.8,240,-1.844,-0.715
8/31/1993,95.48,95.8,93.12,93.95,3.3,50.7,156,-1.853,-0.727
7/30/1993,93.68,95.62,92.82,95.37,3.2,50.2,301,-1.769,-0.74
6/30/1993,89.09,94.32,88.85,93.61,3.3,49.6,182,-2.137,-0.841
5/31/1993,89.49,91.38,88.53,89.08,3.4,51.2,266,-2.174,-0.712
4/30/1993,91.94,92.31,88.37,89.5,3.5,50.2,308,-2.499,-0.782
3/31/1993,94.17,94.8,91.79,91.87,3.4,53.5,-49,-2.273,-0.649
2/26/1993,92.44,94.86,92.42,94.01,3.6,55.2,242,-2.436,-0.69
1/29/1993,92.36,93.75,90.09,92.46,3.5,55.8,309,-2.827,-0.71
12/31/1992,90.84,92.52,88.64,92.36,3.3,54.2,212,-2.691,-0.512
